Rank,Company Name,Company Description,Website,Location,Year End,Sales Rise,Latest sales,Staff,Comment
1,Chilly’s Bottles,Reusable bottle brand,http://www.chillysbottles.com,Central London,Jul-19,284.01%,"*31,471",15,"Name inspired by how the bottles can keep drinks cold and chilly, or hot like a chilli pepper"
2,Junkyard Golf Club,Mini golf course operator,http://www.junkyardgolfclub.co.uk,Manchester,Mar-19,204.21%,"*12,841",230,"Giant bears, fairground rides and scrapped cars all feature on its crazy golf courses"
3,Curve,Workplace design and construction,http://www.curveworkplaces.co.uk,Berkshire,Sep-19,186.16%,"*9,241",16,Designed an office with a star-shaped entrance and a racetrack carpet for children's charity Make-A-Wish
4,Performance54,Golf marketing agency,http://www.performance54.com,Surrey,Apr-19,181.13%,"*6,190",16,The number '54' represents the perfect round of golf; 18 birdies
5,Xpress Centres,Car repair services,http://www.xpresscentres.co.uk,Banbury,Jul-19,178.24%,"*5,633",65,"Carries out 15,000 bodywork repairs per year in supermarket car parks"
6,Missoma,Online jewellery brand,http://www.missoma.com,West London,Mar-19,165.91%,"*11,991",43,The brand is popular among younger royals including the Duchess of Sussex
7,Ooni,Pizza oven manufacturer,http://uk.ooni.com,Edinburgh,Dec-18,148.13%,"*9,987",28,Says its Koda oven can reach a temperature of 500 degrees celsius and cook a pizza in 60 seconds
8,Evergen Group,Solar panel installer,http://www.evergengroup.com,Maidenhead,May-19,142.97%,"*9,299",25,"Installed a CityTree, an anti-pollution device equivalent to 275 trees, at Piccadilly Circus"
9,Childs Farm,Children's toiletries maker,http://www.childsfarm.com,Hampshire,Dec-18,142.72%,"12,818",28,"Its products are now available in more than 7,500 stores nationwide and launched in New Zealand this August"
10,Gymshark,Fitness clothing retailer,http://www.gymshark.com,Solihull,Jul-19,141.26%,"*179,546",300,"Has launched a “try now, pay later” service in the UK and Scandinavia"
11,One Retail Group,Consumer products retailer,http://www.oneretailgroup.com,Northwest London,Dec-18,136.64%,"25,420",11,Founder Joshua Stevens learned Mandarin during his commute to negotiate better with suppliers
12,Warner’s Distillery,Gin distillery,http://www.warnersdistillery.com,Northamptonshire,Dec-18,131.13%,"*10,859",34,Claims to have started the recent pink gin craze when it created its rhubarb gin
13,Oh Polly,Online fashion retailer,http://www.ohpolly.com,Glasgow,Apr-19,124.07%,"*21,380",168,Founders Claire Henderson and Mike Branney met while they were studying aeronautical engineering
14,Prodigi Group,Digital printing,https://www.prodigi.com/,Cardiff,Mar-19,123.55%,"17,861",80,A live snake once accidentally found its way into one of its deliveries
15,Bluefin Trading,Sports equipment supplier,http://www.bluefinhoverboard.com,West Yorkshire,Dec-18,121.81%,"†*6,672",10,"This firm’s HQ is a farm in the West Yorkshire Pennines, 1,200ft above sea level"
16,Strathberry,Luxury handbag designer,http://www.strathberry.com,Edinburgh,Apr-19,118.07%,"*11,825",40,"Founders met at a wedding, got married and started a business together"
17,Missy Empire,Online fashion retailer,http://www.missyempire.com,Manchester,Mar-19,115.30%,"*13,864",45,Has clothing collaborations with reality TV stars from Made in Chelsea and Love Island
18,Brisant Secure,Lock and hinge manufacturer,http://www.brisant-secure.com,West Yorkshire,Dec-18,111.27%,"*8,783",40,A harrowing burglary experience prompted the creation of the firm’s Ultion door lock
19,Sleek Events,Events agency,http://www.sleekevents.co.uk,Southwest London,Jul-19,110.00%,"*7,676",10,Founder and first employee worked out of her kitchen for first two years after company was set up
20,CField Construction,Construction contractor,http://www.cfield.co.uk,Central London,Dec-18,98.66%,"67,545",55,Has commenced work on the conversion of a grade II listed Cornish jail into a luxury hotel
21,Otto Car,Car-hire provider,http://www.ottocar.co.uk,West London,Mar-19,97.08%,"*12,078",50,"Expanded its fleet of hire cars from one to 2,000 in four years"
22,Boxpark,Retail and leisure developer,http://www.boxpark.co.uk,Brighton,Apr-19,96.02%,"*12,800",110,Grime artist Stormzy launched his 2017 album Gang Signs & Prayer at Boxpark Croydon
23,Improveasy,Energy efficiency consultancy,http://www.improveasy.com,Manchester,Mar-19,95.96%,"*11,928",23,Says it has contracts with five of the Big Six energy companies
24,Candour Logistics,Logistics services provider,http://www.candourlogistics.co.uk,Warrington,Mar-19,93.07%,"*56,437",17,Ships goods ranging from dog toys to timber across the world
25,Northern Gas & Power,Energy management consultancy,http://www.ngpltd.co.uk,Gateshead,Dec-18,92.85%,"29,616",285,Offers staff an annual holiday in Majorca and December off if they meet targets
26,Vashi,Diamond jewellery retailer,http://www.vashi.com,Central London,Dec-18,90.95%,"20,666",55,"Customers can customise, forge, set and engrave their own diamond rings at its workshops"
27,Lusso Stone,Luxury bathroom retailer,http://www.lussostone.com,Middlesbrough,Sep-19,89.70%,"*12,563",12,"Its baths, sinks and showers can be found in high-end hotels such as Claridge’s in Mayfair"
28,Cult Beauty,Online beauty retailer,http://www.cultbeauty.co.uk,Central London,May-19,86.95%,"*89,000",140,Launched a female sexual pleasure and wellness range to celebrate International Women’s Day
29,Tarquin’s Cornish Gin,Gin distillery,http://www.southwesterndistillery.com,Cornwall,Mar-19,85.30%,"*5,103",27,Founder Tarquin Leadbetter started making gin on his home cooker aged 23
30,Velocity Commerce,Online marketplace specialist,http://www.velocitycommerce.co.uk,Cambridge,Dec-18,83.87%,"*16,744",26,Also designs digital radios that it names after Cambridge colleges
31,Super 8 Restaurants,Restaurant group,http://www.kilnsoho.com,East London,Jul-19,83.19%,"*7,214",114,"Its Kiln restaurant, in London’s Soho, focuses on clay-baked Thai dishes"
32,Stiltz Lifts,Home lift manufacturer,http://www.stiltz.co.uk,West Midlands,Dec-18,81.66%,"18,991",162,Its Trio lift can fit three people or a wheelchair and is designed for installation in private homes
33,HalalBooking,Specialist online travel agency,http://www.halalbooking.com,Reading,Dec-18,81.13%,"*17,632",49,"This year, over 100,000 holidaymakers stayed in accommodation booked on this company's website"
34,Midstream Lighting,Specialist lighting manufacturer,http://www.midstreamlighting.com,Southwest London,Jan-19,78.24%,"5,044",14,"Its floodlights are used at more than 100 international airports, including Gatwick, Istanbul and Bangalore"
35,Revolution Beauty,Beauty products retailer,http://www.revolutionbeauty.com,Kent,Dec-18,76.66%,"112,621",180,"Following its launch in Australia, fans queued up for hours to buy its new beauty products"
36,AerFin,Aircraft and spares services,http://www.aerfin.com,Caerphilly,Dec-18,76.54%,"84,365",101,Opened a new aircraft parts storage and distribution centre in Atlanta this April to expand its US presence
37,Real Wrap Co.,Food-to-go manufacturer,http://www.realwrap.co.uk,Bristol,Mar-19,76.53%,"*9,077",171,Produces over 13m sandwiches and meals each year across the UK
38,Eden Mill,Distillery and brewery,http://www.edenmill.com,St Andrews,Mar-19,74.20%,"*7,773",51,"First single malt whisky sold for a world record price of £7,100 for a first release"
39,Grenade,Sports nutrition brand,http://www.grenade.com,Solihull,Dec-18,72.78%,"*44,169",48,Says its Carb Killa protein bars are the UK’s second bestselling chocolate bar
40,Phoenix Cellular,Mobile phone distributor,http://www.phoenixcellular.com,Crewe,Oct-19,72.28%,"*56,000",65,"Sells about 30,000 used phones a month to European networks, insurance firms and wholesalers"
41,Sherbet London,Taxi fleet operator,http://www.sherbetlondon.com,North London,Dec-18,71.69%,"6,571",30,"Its luxury electric taxis come with card machines, charging ports and WiFi"
42,Character.com,Branded clothing retailer,http://www.character.com,Swansea,Jul-18,70.90%,"*19,090",38,Products range from Star Wars stormtrooper backpacks to Peppa Pig dressing gowns
43,Transmission,Marketing agency,http://www.transmissionagency.com,East London,Dec-18,68.25%,"*17,392",60,"Opened three overseas offices in January, in San Francisco, Singapore and Sydney"
44,Tropic Skincare,Beauty products manufacturer,http://www.tropicskincare.com,Croydon,Jun-19,66.71%,"*34,943",160,Founder Susie Ma started selling cosmetic products at Greenwich Market aged 15
45,Mowgli Street Food,Indian restaurant chain,http://www.mowglistreetfood.com,Liverpool,Jul-19,66.05%,"11,986",301,Founder spent 20 years working as a child-protection barrister before opening her first restaurant
46,Charlotte Tilbury Beauty,Beauty products retailer,http://www.charlottetilbury.com,West London,Dec-18,65.30%,"145,437",878,"Says its newest foundation had a waiting list of 10,000 ahead of its launch in August"
47,CP Hire,Construction equipment hire,http://www.cphire.com/gb,Cardiff,May-19,64.90%,"*12,719",90,"Began with £40,000 worth of construction equipment and now runs a fleet valued at £40m"
48,Tattu,Chinese restaurant chain,http://www.tattu.co.uk,Manchester,Dec-18,63.97%,"*8,673",170,"Opened its fourth venue in October, in Edinburgh, and plans to open in London next year"
49,INSTAsmile,Dental veneer retailer,http://www.instasmile.com,Merseyside,Sep-19,62.76%,"*6,500",50,Prints 3D models of customers’ teeth to create accurate veneers
50,Oxford Summer Courses,Educational course provider,http://www.oxfordsummercourses.com,Oxford,Sep-19,62.42%,"*9,272",36,Students from 112 countries have enlisted in its summer courses
51,Envisage Dental,Dental practice,http://www.envisage-dental.co.uk,Basingstoke,Mar-19,61.24%,"*6,287",68,Offers a sedation service for nervous patients with dental phobia
52,VPZ,Vaping shop chain,http://www.vpz.co.uk,Edinburgh,Dec-18,60.04%,"26,397",226,"Stocks a range of over 500 e-liquid flavours in its online shop, including ‘Darth Vapour’"
53,Highwood Group,Construction contractor and developer,http://www.highwoodgroup.co.uk,Hampshire,Feb-19,59.85%,"66,706",62,"There are currently 4,000 development plots under this group's control"
54,Corley + Woolley,Fit-out contractor,http://www.corleywoolley.com,Central London,Dec-18,58.82%,"32,072",37,Refurbished an entire shopping centre in Northampton while it was open and fully occupied
55,Braidwater Group,Housebuilder,http://www.braidwater.com,Londonderry,Mar-19,58.28%,"34,904",65,Growth capital firm BGF has invested three times in the past four years
56,The Resin Mill,Surfacing resin wholesaler,http://www.theresinmill.co.uk,West Yorkshire,Dec-18,56.76%,"*7,520",13,Its School of Resin is a resin-bound surfacing academy with a practice driveway
57,BrewDog,Brewery,http://www.brewdog.com,Aberdeenshire,Dec-18,56.55%,"171,619","1,247","Founders’ £100,000 pitch on Dragons’ Den was turned down in 2009; it would now be worth over £360m"
58,Beavertown Brewery,Brewery,http://www.beavertownbrewery.co.uk,North London,Mar-19,56.53%,"*19,559",112,Is the official craft beer supplier of the new Tottenham Hotspur stadium
59,Reassured,Life insurance broker,http://www.reassured.co.uk,Basingstoke,Jan-19,56.31%,"37,811",411,"Says that it has sold over £46bn of life insurance policies, covering over 440,000 UK families"
60,Gravity Active Entertainment,Trampoline park operator,http://www.gravity-uk.com,West Yorkshire,Dec-18,56.11%,"9,797",302,A trampoline park on The Real Housewives of Beverley Hills TV show gave the founder’s wife a brainwave
61,Twinkl,Educational resources provider,http://www.twinkl.co.uk,Sheffield,Apr-19,55.86%,"*18,891",440,"Its website has over 625,000 educational resources, available in 18 languages"
62,Plimsoll Productions,TV show producer,http://www.plimsollproductions.com,Bristol,Aug-19,54.98%,"*37,284",195,A second series of its Yellowstone Live documentary aired in June after the first got 13m viewers
63,Flat Iron,Steak restaurant chain,http://www.flatironsteak.co.uk,Central London,Aug-18,54.59%,"14,477",234,Bookable ‘butcher’s feasts’ serve 1kg rib-eyes and giant Yorkshire puddings
64,Task Consumer Products,Toilet paper manufacturer,http://www.taskcp.co.uk,Wolverhampton,Dec-18,54.08%,"45,822",63,"Its brands of kitchen and toilet paper include Little Duck, Cusheen and Maxx"
65,Nurture Landscapes,Landscape maintenance,http://www.nurturelandscapes.co.uk,Surrey,Mar-19,53.05%,"73,135","1,093","Maintains three of London's Royal Parks – Richmond Park, Bushy Park and Greenwich Park"
66,Marine Products,Fish processor and supplier,http://www.sulaire.com,Glasgow,Dec-18,52.98%,"26,950",150,Its logo of the gannet bird symbolises a fellow fisher with respect for the sea
67,END.,Designer menswear retailer,http://www.endclothing.co.uk,Newcastle upon Tyne,Mar-19,52.55%,"134,658",464,Boasts more than 2.4m followers across its social media platforms
68,OMG How Cheap,Online stationery retailer,http://www.omghowcheap.co.uk,Colchester,Feb-19,52.21%,"*7,127",32,Stationery salesman David Field founded his own company after being made redundant in 2011
69,Needle & Thread,Womenswear designer,http://www.needleandthread.com,Northwest London,Mar-19,51.85%,"13,576",74,"Net-a-Porter, Harrods and Moda Operandi stock this womenswear label"
70,Green Park,Recruitment consultancy,http://www.green-park.co.uk,Central London,Jan-19,51.50%,"90,107",66,Has placed interim senior executives in more than 55 countries
71,Exceed,Well management and engineering,http://www.xcd.com,Aberdeen,Feb-19,51.28%,"20,748",43,Has helped decommission over 120 wells in the North Sea in the past three years
72,VetCT,Veterinary radiology services,http://www.vet-ct.com,Cambridge,Jul-19,50.86%,"*6,300",100,Married owners first met at an animal hospital and now run their own veterinary company together
73,Red Industries,Waste management provider,http://www.redindustries.co.uk,Newcastle-under-Lyme,Dec-18,50.51%,"23,832",180,"Founder walked, cycled and rowed from the Eiffel Tower to Tower Bridge to raise money for charity"
74,ITD Global,International courier,http://www.itdglobal.com,Manchester,Apr-19,50.46%,"*23,078",43,"Works with delivery partners including Hermes, UPS and FedEx"
75,Plantforce,Plant hire,http://www.plantforce.com,Bristol,Sep-19,50.24%,"*35,300",131,Supplying HS2 and Hinkley Point with excavation equipment has boosted the company's sales
76,Flame Heating Group,Heating and plumbing merchant,http://www.flameheatingspares.com,Tyne and Wear,Jun-19,49.98%,"*20,087",70,Uses virtual reality to show customers what their new bathrooms could look like
77,Intevi,Display and software supplier,http://www.intevi.uk,Hampshire,Dec-18,49.71%,"*5,538",24,Its interactive displays can detect the user’s age and gender and change content accordingly
78,Rinkit,Online home and garden retailer,http://www.rinkit.com,Chichester,Feb-19,49.49%,"*17,090",45,Started life in a spare bedroom and now receives more than 1.5m orders a year
79,Munnelly Group,Construction/infrastructure logistics,http://www.munnellygroup.com,Harrow,Mar-19,48.26%,"81,163",523,Founder Philip Munnelly launched the company with money saved up from various jobs including a milk round
80,Oliver’s Travels,Luxury travel website,http://www.oliverstravels.com,South London,Sep-19,48.18%,"*6,206",53,"Its largest holiday booking cost £152,000 for one month in a luxury Tuscan villa"
81,BioPhorum,Biopharmaceutical forum organiser,http://www.biophorum.com,Central London,Dec-18,47.49%,"*6,707",10,Says it has signed up 24 of the world's 25 largest biopharmaceutical firms as clients
82,Pizza Pilgrims,Pizzeria operator,http://www.pizzapilgrims.co.uk,Central London,Jun-19,47.48%,"*11,900",215,A friend's quip about the founder brothers' search for the perfect pizza as a 'pilgrimage' stuck
83,Total Management Group,Events and travel agency,http://www.total-management.com,Central London,Mar-19,47.21%,"*15,153",44,"Over 30,000 people have attended its events in 50 countries"
84,Liforme,Yoga mat manufacturer & retailer,http://www.liforme.com,North London,Mar-19,46.89%,"*6,022",15,Within four years this company had sold yoga mats to 85 countries and to every US state
85,Prime Global,Medical communications agency,http://www.primeglobalpeople.com,Knutsford,Dec-18,46.57%,"19,176",156,Its first offices were located on the site of a former tuberculosis hospital near Chester
86,Clearabee,Waste collection services,http://www.clearabee.co.uk,Birmingham,Dec-18,46.53%,"*12,212",179,Purchased 10 acres of native woodland in the Scottish Borders to offset its CO2 emissions
87,Spirit Healthcare,Healthcare products supplier,http://www.spirit-healthcare.co.uk,Leicester,Mar-19,46.41%,"*14,318",66,An NHS study found that this company's software helped reduce hospital admissions by two thirds
88,Aspens Services,Contract caterer,http://www.aspens-services.co.uk,Worcestershire,Apr-19,46.40%,"49,676","2,172",Serves over one million meals a week to schools and universities across the Midlands
89,BrandAlley,Online flash sales site,http://www.brandalley.co.uk,Central London,Dec-18,45.99%,"45,840",72,Runs a members-only site which stocks hundreds of luxury brands at discounted prices
90,Identity,Events management agency,http://www.identitygroup.co.uk,East Sussex,Aug-19,45.70%,"*8,722",43,"Says it puts on more than 1,000 events a year for the likes of Google and ITV"
91,Age Partnership,Equity release adviser,http://www.agepartnership.com,Leeds,Dec-18,45.45%,"50,124",552,Founder set up the business after a disappointing investigation into equity release for his mother
92,The Alchemist,Bar and restaurant operator,http://www.thealchemist.uk.com,Greater Manchester,Mar-19,45.08%,"41,032",929,Its 'Augmented Reality' cocktail menu utilises an app to bring the customer's drink to life
93,Equifinance,Secured loans provider,http://www.equifinance.co.uk,East London,Aug-19,44.89%,"*6,757",25,"Has a loan portfolio of £81m with over 2,500 business customers"
94,United Gas & Power,Business energy supplier,http://www.ugp.co.uk,Leeds,Jun-19,44.88%,"*23,211",60,Says that 100% of the electricity it sells is from renewable energy sources
95,Superyacht Tenders & Toys,Yacht equipment supplier,http://www.superyachttendersandtoys.com,Ipswich,Oct-18,44.81%,"*6,596",11,"Supplies jet skis, submarines and inflatable slides to superyachts made across the world"
96,Honest Burgers,Burger restaurant chain,http://www.honestburgers.co.uk,Central London,Jan-19,44.58%,"30,669",589,"Offers burgers with regional themes, such as the leek and bacon special served at its Cardiff restaurant"
97,Vanarama,Vehicle leasing broker,http://www.vanarama.co.uk,Hemel Hempstead,Dec-18,44.18%,"*75,055",226,"Positioned a “car vending machine” at London’s Waterloo station to promote its car leasing website, Motorama"
98,Hamilton Court FX,Foreign exchange services,http://www.hamiltoncourtfx.com,Central London,Mar-19,44.06%,"*15,265",45,It once changed £150m into euros in a single transaction
99,Airline Component Services,Aircraft parts and repairs,http://www.airlinecomponentservices.com,Braintree,Mar-19,44.02%,"*6,225",10,"Supplies and repairs aircraft parts for customers including British Airways, TUI and easyjet"
100,Vivobarefoot,Footwear manufacturer & retailer,http://www.vivobarefoot.com,Central London,Jun-19,43.57%,"*26,176",61,"Founder has heritage in the footwear world, hailing from the Clark family"
